Task ID,Supplier ID,Cost
T1,S4,0.384385842153923
T1,S5,0.4270749587567444
T1,S6,0.3866418476557756
T1,S7,0.3926914226037997
T1,S10,0.3723988815688455
T1,S11,0.3781380282980217
T1,S12,0.4298351417381008
T1,S13,0.4125824818252755
T1,S14,0.423180121558089
T1,S15,0.3715709329487683
T1,S16,0.4236288248680663
T1,S18,0.3556524664902972
T1,S19,0.4084888551554246
T1,S20,0.4294237173897987
T1,S22,0.3981232515159151
T1,S23,0.4166531150958092
T1,S24,0.40900412096322
T1,S27,0.3671822932280378
T1,S29,0.3751729720598797
T1,S30,0.4106675168110766
T1,S32,0.412536462460339
T1,S33,0.3786914253156045
T1,S34,0.3673980233445724
T1,S37,0.4051906052004863
T1,S38,0.4314753805912152
T1,S39,0.4121027719789258
T1,S40,0.4112615941923647
T1,S41,0.4159824585135522
T1,S42,0.4113521758608934
T1,S43,0.4242139561083867
T1,S46,0.3724000110928648
T1,S47,0.3576352325709233
T1,S49,0.4082068945458317
T1,S50,0.393722089357389
T1,S51,0.3696378955704298
T1,S52,0.3967024106293826
T1,S53,0.3766909682475749
T1,S54,0.3974604539514329
T1,S55,0.4290337445494113
T1,S56,0.3563492898371531
T1,S57,0.3804704538704146
T1,S59,0.4247164238478478
T1,S60,0.3746940199664368
T1,S63,0.3960911096365375
T1,S64,0.4313909607785565
T10,S4,0.3512473499237982
T10,S6,0.329679930694557
T10,S7,0.3769815264809236
T10,S8,0.3453621189557214
T10,S10,0.3458398571947261
T10,S11,0.3487587066629922
T10,S12,0.3366043699418144
T10,S13,0.3457896187393472
T10,S14,0.3504137565707005
T10,S15,0.3294870119143479
T10,S16,0.3512369844464055
T10,S17,0.3717777720904306
T10,S18,0.3699895529890304
T10,S19,0.3605511326336829
T10,S20,0.3519210141029917
T10,S22,0.3454136642794603
T10,S23,0.3775335475021797
T10,S24,0.3794307839275752
T10,S25,0.34895639557537
T10,S27,0.3616936775991421
T10,S29,0.3566262024103798
T10,S30,0.3598667897085382
T10,S31,0.3775446038062733
T10,S32,0.3760539723619365
T10,S33,0.3579283861375893
T10,S34,0.3495619314442202
T10,S35,0.366830926216922
T10,S36,0.3450180619524079
T10,S37,0.3712641853808937
T10,S39,0.3482252790571027
T10,S40,0.3426221809850642
T10,S46,0.3198408054846098
T10,S47,0.3280639234608589
T10,S49,0.3636515104886648
T10,S50,0.359225722293204
T10,S51,0.3289304572483976
T10,S52,0.3458092169450252
T10,S53,0.3580798420452022
T10,S54,0.3599513954544686
T10,S56,0.3170256303848849
T10,S57,0.3418046477869964
T10,S59,0.382608531021085
T10,S60,0.3372052550124997
T10,S63,0.3694044531618496
T10,S64,0.3462147527776419
T100,S4,0.4413742557217605
T100,S5,0.4458009762008973
T100,S6,0.4362548542396304
T100,S7,0.4339708145481722
T100,S8,0.4476959632436892
T100,S9,0.4289901738329919
T100,S10,0.4216736313336547
T100,S11,0.4392180364445578
T100,S12,0.4408000032151907
T100,S13,0.4214076906538606
T100,S14,0.4376470075744083
T100,S15,0.4140868839811111
T100,S16,0.4392805996766006
T100,S17,0.439787079786531
T100,S18,0.4216147363314302
T100,S19,0.4423421739240947
T100,S22,0.4341792022394389
T100,S23,0.437050428734917
T100,S24,0.4470778936327431
T100,S25,0.4476230350308035
T100,S29,0.4390941417791368
T100,S30,0.4379986999505649
T100,S32,0.4414237493830583
T100,S33,0.433506601485634
T100,S34,0.4299627863011333
T100,S36,0.4190781814847157
T100,S37,0.4395064618544175
T100,S39,0.4300374249171804
T100,S40,0.416388638836192
T100,S41,0.4489825175064584
T100,S42,0.4432890643569132
T100,S44,0.4413772519217984
T100,S45,0.4262823173099543
T100,S46,0.4268585038751553
T100,S47,0.426495753653847
T100,S50,0.4478508479334557
T100,S51,0.4324798905454576
T100,S53,0.4293648115613571
T100,S54,0.4188792020044668
T100,S56,0.4444835907089156
T100,S57,0.4111297243521759
T100,S58,0.448976155600564
T100,S59,0.4323219661506852
T100,S60,0.4481343139479364
T100,S64,0.4492614768863172
T101,S4,0.4470744959404217
T101,S7,0.4318088054490805
T101,S9,0.4411548804105369
T101,S11,0.4377993527202082
T101,S12,0.4453690960903642
T101,S13,0.446094497050445
T101,S15,0.4457829246907809
T101,S16,0.4471293908729751
T101,S17,0.4480405552107827
T101,S19,0.4537592317699527
T101,S22,0.4417054208149072
T101,S23,0.4543096521270415
T101,S24,0.4396532871505969
T101,S26,0.4473604451283222
T101,S27,0.4368455372631968
T101,S28,0.456107258818717
T101,S29,0.4337520860534417
T101,S30,0.4426275973772671
T101,S32,0.4255377242203703
T101,S33,0.4229171120371987
T101,S34,0.4334077901199621
T101,S35,0.4342953218369531
T101,S36,0.408853448522212
T101,S37,0.4493787086260133
T101,S38,0.4484335228002865
T101,S40,0.4583390931058241
T101,S41,0.4558396144210854
T101,S42,0.4461807925546327
T101,S45,0.4385330404630658
T101,S46,0.4377886356380661
T101,S47,0.4102354009931711
T101,S49,0.4569935874578014
T101,S50,0.4426785579620867
T101,S51,0.4404286696817542
T101,S52,0.4558548495365112
T101,S53,0.4300921846770165
T101,S54,0.4484085065743904
T101,S55,0.4479484603741668
T101,S56,0.4364408612359045
T101,S57,0.4232114766867049
T101,S58,0.4414819843036524
T101,S59,0.4519660951517488
T101,S60,0.4350118720476867
T101,S61,0.431110185797521
T101,S64,0.4263409649873039
T102,S4,0.4162091813955349
T102,S6,0.4305657008837015
T102,S7,0.4140567591496163
T102,S8,0.423214587528874
T102,S10,0.4224185646276227
T102,S11,0.4124297134618752
T102,S14,0.431500539030351
T102,S15,0.4015411848847869
T102,S17,0.4236565477443882
T102,S18,0.4037736176304044
T102,S19,0.4196808441133677
